 You know, a difference in the Greeks and the Jews in our Western way and the Middle
 Eastern way of the Bible is the Greeks being philosophers.
 You learn sitting down.
 You know, we sit in desk.
 We read books.
 They're a writing culture.
 For the Jews, you learn in your body.
 It's through a bodymen.
 If you're a disciple of Jesus, you are not sitting at a desk taking notes.
 You are walking with him.
 many sermons taught a lot, not understanding culturally, his love is so much greater than I've
 ever known than I could ever imagine.
 And being on that trip, it wasn't just once.
 It wasn't twice.
 Sometimes it was a barrage of, do you see how much I love you?
 Do you see how I love you here?
 Do you see how I love my kids?
 Do you see why I did this?
 Do you see this?
 And it became so powerful for me as a leader coming back and realizing my responsibility.
 I mean, I teach the responsibility of your team is your responsibility, your family.
 But helping them to see even further his love has been so important.
 And I think for my team, watching my team grow over the last couple of months and just that
 love factor, it is enhanced all of their walks.
 The Bible is the story of God pursuing the lost, not to judge them, be them, smite them, or
 kill them, but to rescue them, to save them, to renew them, and to restore them.
 One of the most famous examples talking about reading the Bible for what does it teach me
 about me versus what does it teach me about God?
 When we come to Luke 15, Jesus gives these stories, these parables.
 And one of them is very famous to us here in the West.
 We call it the parable of the prodigal son because we read the Bible and ask what does it teach
 me about me.
 But in the Middle East, they call that story the parable of the running father because it's
 all about a father who ran to a tone for his lost son and to bring him back into the house.
 And this is the good news that all of us are lost and all of us are in need of a shepherd,
 and God has come down into dust and ruin, not to destroy, but to save.
 And the story of the Bible is about God doing his work.
 It's very interesting when he comes to Abraham in Genesis 12 to enter into a covenant with
 him.
 Every time he says, "I will, I will, I will," he never says, "You will."
 It's all about who God is and what he is doing.
 It's part of what I mean when I say that I want to Israel and learn that God is
 better than I ever knew and it's really allowed me to try to mature out of the orphan that sometimes
 is in my spirit that scranges, that strives and strains as if it were all up to me.
 And to really try to live into my son's ship or my daughter's ship that I have a high and
 holy father who has pulled up a chair at his table of sufficiency of eternal shalom, holding
 this flourishing and delight and he invites me to that table just as I am because the work of restoration
 in my life is his.
 And as I take my seat at the table, he will do it.
 He is doing it and he's going to do it until it's done.
 To not go into too much because guys, we're going to actually talk about an opportunity because
 we're going back.
 That's why we're going to talk about that in just a second.
 So it's so difficult not to give away some of the most phenomenal pieces, but speaking on that as we talk
 through like the prodigal son and a lot of people don't realize and they may have heard it
 preach before that really what he was saying by saying I want my inheritance.
 Is he saying I wish you were dead because nobody in a Middle Eastern culture would have done
 that except to say I wish your dead so I can inherit because that's the only way we inherit.
 The interesting thing is when he returns back to the father, he's actually not returning to the father
 as much as he's returning to be a slave.
 At least I could be a slave and it's a very dangerous thing to do because in that culture he's already said
 I want my father dead.
 And so the father running out to him is that representation of no matter how jacked up you get in life,
 no matter how bad your decisions are, no matter how low you get and you think that you're going to return to me and
 just go, okay Lord, I am just a piece of crap.
 Will you at least let me be a slave.
 God rushes out and pursues the child who's made the bad decisions who screwed up,
 who's got themselves in a bad place.
 The whole time and it's not just that one parable, there's so many different elements that you just got to come and learn it
 where God is running and pursuing after us.
 And then as you say restoring us to a place, we didn't even expect to get to.
 We weren't even hoping to get to.
 We were just thinking, I don't have to eat after these pigs.
 Maybe I can just go be slave.
 That pursuit of God shows up in my whole life.
 There's not a place.
 There's not a time that he has not been pursuing me.
 I feel like I've got a pretty fantastic relationship with God.
 I feel like I am growing immensely and just consuming him so much of him and his love and all the stuff.
 And yet he still does not stop pursuing.
 It's not like he's okay.
 Well, Chris, you're good. I'm going to go look after something.
 He's the guy who spread billions of galaxies in Pico seconds.
 He can handle me and everybody else on the planet at the same time and continue to pursue me.
 So I think for me that has just been the most amazing love story.
 Is that I keep thinking it's about me.
 I keep thinking I have to do all the right things.
 I keep thinking I have to be, you know, I've got to impress the God of the universe, which is hilarious.
 And the whole time he's like, son, I'm coming after you every second with all of me.
 All I ask is give me you.
 Seek me.
 So what are some last things you want to help leaders, business owners, team members to just kind of know before we wrap this up?
 You know, I think just as a leader, it's important to embrace the disruption to look for things that will take you out of your normalcy.
 Things that get you out of your average patterns and ways of doing things.
 It's a pathway for new learning, whatever that's going to be.
 If Israel is something that some people out there want to experience, it's certainly a table that we want to set for them.
 You can never unsee what you've seen.
 And it's interesting, you know, people ask me often, Christy, do you take non-Christians people that don't profess a faith in God or who don't go to church?
 Will you take them to Israel?
 And that question is funny to me.
 Everyone is welcome at the table.
 Everyone is welcome at God's table.
 And everyone is welcome at our table for Israel.
 God doesn't stop pursuing.
 It's right.
 It just doesn't stop pursuing our folks.
 Here's the thing.
 We kind of talked about the set our retreat.
 Our next level of astral my retreat because we're just planning one trip and thinking, you know, hey, we'll share this.
 We'll share it with the folks that listen to the podcast.
 We're going to share it again at the next level leadership live event and go into a much bigger deeper teaching time on that as well.
 It's part of all of the leadership lessons that we're doing.
 And we hope that up and come to find out, wow, a lot of people wanted to go.
 So here's what we are doing.
 We are going to be doing two trips.
 We are going to be opening this thing up for people.
 The first one is going to be in the fall of 2020.
 The second one is going to be in the spring of 2021.
 Now, you might be thinking, well, that's a long ways off.
 Yep, get it on your count.
 It's start doing the things I teach you to do.
 Get it prepared.
 Play in for this sucker so that you could come and join us over there and have a life-changing trip.
 You've got time to do this, but we have created a wait list.
 So what we want you to do, because we don't even have the details yet on the spring event, what we want you to do is go to
 Chrissacrote.com/Israel.
 Chrissacrote.com/Israel and put your information in there.
 And as people put their information in, we will load them up onto the wait list.
 And as we are able to get the dates and get everything in place, then we will start to let you guys know.
 What I have told all of my clients.
 So as I've come back, because our whole leadership team went, we didn't go as a leadership team.
 We just went together.
 And it was crazy power.
 We've got some leadership teams in the next level.
 Mastermind, now taking their leadership team on the next trip.
 And it was just phenomenal as a team.
 But as we came back, people are like, explain it to me.
 And it's like, "Yeah, you just can't do it. You just can't explain it all."
 But one of the things I keep saying over and over again, if I ever suggest any vacation or anything over this, punch me in the throat.
 That's awesome.
 Because this is the most life-changing trip you will ever have.
 So Chrissacrote.com/Israel.com/Israel.
 Go put your information in.
 If you want to do this, then we will put you on a wait list.
 And as we get the details, which hopefully will be in a few months, then we will launch that and share that.
 And we will take a bunch of you guys over there and have a huge impact on your life.
 A great author, Loast Verberg.
 I love one of the things she talks about.
 She talks about unpacking your suitcase coming back from Israel.
 She's like the dust from Masada and the shells that you pick up and the things that you're not supposed to bring back.
 You actually do. You see these elements like the rocks from when we're standing where David stood when he took down Goliath.
 When you pull these things out, unpacking your suitcase takes moments, unpacking your memories takes years.
 And that is so absolutely true, just crazy powerful trip.
 So thanks again, Chrissie, for being here and being on the show.
 I really appreciate you coming in and doing this.
 Thanks for having me. I can't wait to behold in the land of the Bible with you.
 Amen. Amen. Folks, Chrissie is going to be speaking at the next level of leadership live event on biblical truths and leadership,
 and seeing the Bible through the Middle Eastern lens, which will absolutely wreck your face off of telling you it is changed my life.
 It's changed my leadership. It's changed my team.
 It's changing everything that we're doing here.
 So do not miss that. Get your tickets to that event.
 Get your tickets to that event. Get that today.
 And one last thing, how can people get more of you? Fantastic.
 They can go visit new lens, biblical studies.com.
 They can find out all the information for the trips for local series upcoming events, different things.
 All that fun stuff, fantastic.
 Folks, as always, take this information, change your leadership, change your business, change your life.
 Just do it. Make that decision right now. Change your life.
 And join us on the next episode.
 (upbeat music)
 (dramatic music)
